kD,kP,Start_guess
-0.196491741820896,-0.13780576828047258,1
-0.19643717418482493,-0.13778711022836243,2
-0.19658491982852186,-0.13783674135504295,3
-0.1964653799913099,-0.1377978858909911,4
-0.1965473226405487,-0.13782273033840403,5
-0.19656099958253073,-0.13783048095166808,6
-0.19664882539618023,-0.1378635086664281,7
-0.19660014233179499,-0.13784301904284316,8
-0.19653274796829132,-0.1378174341142483,9
-0.1966015592507769,-0.1378426035895093,10
