fmin,alg,n_iterations,run_time,converged,Start_guess
2.4048279059216466,Optim_IPNewton,18,0.219743013381958,true,1
2.4048279060929705,Optim_IPNewton,17,0.13568997383117676,true,2
2.4048279059118074,Optim_IPNewton,20,0.22551894187927246,true,3
2.4048279060286903,Optim_IPNewton,19,0.15413308143615723,true,4
2.4048279058491246,Optim_IPNewton,21,0.1644268035888672,true,5
2.4048279059270223,Optim_IPNewton,19,0.13571715354919434,true,6
2.404827906357357,Optim_IPNewton,17,0.12657809257507324,true,7
2.404827905974207,Optim_IPNewton,19,0.15639400482177734,true,8
2.404827905845242,Optim_IPNewton,18,0.1398639678955078,true,9
2.4048279059569024,Optim_IPNewton,22,0.1595311164855957,true,10
