kD,kP,Start_guess
-0.19649174182089738,-0.13780576828047272,1
-0.19643717418482845,-0.13778711022836324,2
-0.1965849198285171,-0.1378367413550419,3
-0.1964653799913147,-0.13779788589099212,4
-0.19654732264054617,-0.13782273033840256,5
-0.19656099958253528,-0.1378304809516691,6
-0.19664882539619222,-0.1378635086664314,7
-0.19660014233179418,-0.137843019042843,8
-0.19653274796829034,-0.13781743411424813,9
-0.19660155925077222,-0.1378426035895077,10
