Epo_degradation_BaF3,k_exp_hetero,k_exp_homo,k_imp_hetero,k_imp_homo,k_phos,sd_pSTAT5A_rel,sd_pSTAT5B_rel,sd_rSTAT5A_rel,f_trace,Start_guess
-4.1,-1.4999999999999996,1.0999999999999996,-0.7000000000000002,-0.2999999999999998,1.5,-0.8999999999999995,4.699999999999999,0.8999999999999995,2.7217324823858426e6,1
-3.3280968928782726,-0.40855718831815135,0.10721755546898881,-0.6736021401649276,-0.28312427409493046,1.5026604658687552,-0.6825518747812761,4.409466572868266,0.30509927792994407,1.002518313269546e6,1
-3.099856656021516,-0.3675799176002804,0.09624281776005202,-0.681719193445413,-0.29283796098417497,1.4973295454905708,-0.4653833891807724,3.5662463436960214,0.48233915031940194,369050.14752058947,1
-2.6632883847568305,-0.0829184416941432,0.015813651252777464,-0.7050566988482095,-0.3170445487854138,1.4852259201720528,-0.24811754783014703,0.20265168512645682,0.6682451566776157,146133.3460634976,1
-2.62293381629314,-0.07414027865023969,0.014227889790073616,-0.7106564846443378,-0.32304096501383206,1.4822502800589927,-0.03097363348221041,0.41934837632692756,0.850038701896896,53849.53640483428,1
-2.511342828566098,-0.013808106664760685,0.002898918328719177,-0.7262789616832283,-0.33774353771141774,1.4753125857822962,0.1862081657419145,0.6358394189654404,1.017269889631044,19904.498771826282,1
-2.4881473921283703,-0.012669226134455931,0.0031619325752656226,-0.7299921590090532,-0.3412291661613621,1.474285730522325,0.4032574979494718,0.8514751473077545,1.162110408401284,7425.733498299959,1
-2.4265189606313053,-0.0046756960428249745,0.004731183220393377,-0.740250357530356,-0.35011989970337754,1.471238693241829,0.6201771281368657,1.0649886821060603,1.2506595499875237,2845.8672840119366,1
-2.411638072306448,-0.006597785468758791,0.008766286354672843,-0.7427964776524592,-0.3517930456637313,1.4731084156914398,0.8365909535092668,1.2728974244833526,1.28935448191489,1170.973719963499,1
-2.373499879531959,-0.021689984793717438,0.03587990148994441,-0.7500193235424595,-0.35649331479651686,1.4771731577998328,1.051783480050541,1.4663119084666392,1.2940082715875918,564.2151560214032,1
-2.36408261242554,-0.043506259444972425,0.06847110467542714,-0.7517303535550338,-0.35412253047693776,1.4954184088706415,1.2635890129732652,1.626111608374949,1.2958627802506895,349.3770379864782,1
-2.3425300654394556,-0.30287171603669055,0.19941179859519034,-0.7554334031116979,-0.3487910747049081,1.5424674057246195,1.4665664876506306,1.72360921242249,1.2955146813183702,276.96413442482185,1
-2.340856446113389,-2.336142586128872,0.3090673840798924,-0.6932614709945812,-0.278932139995864,1.674804875700773,1.5920056993533187,1.744023272277043,1.294297052849223,259.04864463218786,1
-2.3577164609980508,-1.864881203754479,0.05600254410802791,1.0492252525102415,1.2958053888644627,3.2530843433344154,1.7181929514435592,1.7532759394348152,1.270530853192522,247.8096720604942,1
-2.4184262612351644,-1.9831278552574438,-0.16817810407297884,1.1802198887977249,1.4835322517269172,3.664562209328682,1.7710460891248192,1.7542610354578105,1.0723455120314764,240.29673999126751,1
-2.8903617136375983,-1.5394793957678599,0.41148263659674555,1.3508937903774674,1.6998696848202168,3.886635356886628,1.7802560607822864,1.7537971931356375,0.9362093920058653,235.6100504757193,1
-3.3402285463656174,-1.1897144459689362,0.3992425162446794,1.5162531939868658,1.6325003999229424,4.442760996121757,1.7860384365616861,1.7512337204717119,0.6894695525741577,228.08390413957673,1
-2.9105874271779895,-0.8742304222242059,0.6502764787461828,1.1001273256275983,1.1218875108867676,4.796942920125375,1.8134802926622915,1.7383799570597758,0.577082556542616,221.6885796639149,1
-2.7157135818548426,-0.7362291306154153,0.6945110627017453,1.0526466835329704,0.9660711932010165,4.999796942920125,1.7656471918026129,1.7114927003635618,0.5848995775205128,218.3796340007328,1
-2.7145668921940493,-0.7362348638279846,0.6945924893965936,1.0511808009479082,0.9645061861638915,4.999898369931523,1.7651809778553695,1.7112270785621257,0.5848479077514682,218.34931484294833,1
-2.712536203680515,-0.7363255830025148,0.6947453573660559,1.0485331666514135,0.961675304258967,4.999949134150727,1.7643656526453122,1.710762372697361,0.5847401143789867,218.2955512346384,1
-2.7030062538007327,-0.7368561931781099,0.695516024059564,1.0360524375092717,0.9483276968012824,4.999999949134151,1.76055037043996,1.7085876360377235,0.5842020880297805,218.0410186653389,1
-2.223393792185878,-0.7622242086033978,0.7460607621545668,0.4141700771219319,0.2840715417042585,4.999249316725809,1.5682937155323193,1.598999393977938,0.554219662636408,201.93810314638446,1
-2.054981457513953,-0.9955936759077146,0.4539259914855263,0.07395756079905308,-0.09839791937680586,4.999062491141575,1.4188270469271733,1.4989679558248374,0.41798708864054,188.90601244780106,1
-1.9912023811866042,-1.0978918352050182,0.40026305570851994,-0.08981793811820313,-0.28491646266037707,4.999999062491141,1.2808416840314354,1.3909754333489706,0.41422199588978814,182.50195601494704,1
-1.9186344835203732,-1.0276470934692064,0.2861175804727531,-0.48859577050627134,-0.3322246578446128,4.999995997725875,1.1579939717530483,1.234905807896736,0.5019200667898415,176.25279941093154,1
-1.766514385295702,-1.0671212279804143,-0.05255069632458087,-0.7124946210764957,-0.352495634376339,4.999994009969706,1.077911046093147,1.1827196169154954,0.5018625598182849,172.0070958627703,1
-1.710938569539889,-0.9694117704755074,-0.0884547368681376,-0.8043819170738794,-0.2966670703167313,4.9999829633149595,1.0280943873705675,1.1594708801093514,0.5484831345674012,170.71861621220384,1
-1.710871865575897,-0.9692332796448108,-0.08852083961285612,-0.8044981663417838,-0.2965478098229983,4.999961808564811,1.0280138448300586,1.1594451867535134,0.5485528180224841,170.7169139939479,1
