kD,kP,Start_guess
-0.1964917418208908,-0.13780576828047036,1
-0.19643717418483606,-0.13778711022836532,2
-0.19658491982852813,-0.13783674135504484,3
-0.19646537999131683,-0.13779788589099218,4
-0.1965473226405364,-0.13782273033840067,5
-0.19656099958252599,-0.13783048095166686,6
-0.1966488253961878,-0.1378635086664297,7
-0.19660014233179618,-0.13784301904284427,8
-0.1965327479682928,-0.13781743411424838,9
-0.19660155925077877,-0.13784260358950998,10
