fmin,alg,n_iterations,run_time,converged,Start_guess
5.677934044754449,Optim_IPNewton,0,0.0,true,1
2.404937128912616,Optim_IPNewton,24,0.25037407875061035,true,2
2.4040008442524767,Optim_IPNewton,47,0.3688950538635254,true,3
2.404000855355714,Optim_IPNewton,53,0.3478739261627197,true,4
2.404000847542135,Optim_IPNewton,26,0.1281428337097168,true,5
2.4040008601000546,Optim_IPNewton,47,0.365109920501709,true,6
2.404937129060139,Optim_IPNewton,19,0.1571509838104248,true,7
2.4040008561618476,Optim_IPNewton,49,0.3014388084411621,true,8
2.4049371292479376,Optim_IPNewton,22,0.23318696022033691,true,9
5.6779340452758476,Optim_IPNewton,0,0.0,true,10
