fmin,alg,n_iterations,run_time,converged,Start_guess
149.51883868390522,Optim_IPNewton,54,4.522288084030151,true,1
147.5439651709001,Optim_IPNewton,50,2.2771620750427246,true,2
147.54396517090242,Optim_IPNewton,61,2.136672019958496,true,3
149.58782928212014,Optim_IPNewton,45,3.4974398612976074,true,4
171.19050926410773,Optim_IPNewton,75,5.229854106903076,true,5
147.54396517107423,Optim_IPNewton,50,2.655799150466919,true,6
164.42567076028433,Optim_IPNewton,55,2.569230079650879,true,7
147.54396517090044,Optim_IPNewton,57,2.7233970165252686,true,8
147.54396517089924,Optim_IPNewton,58,2.182703971862793,true,9
147.54396517089998,Optim_IPNewton,59,2.1106019020080566,true,10
149.5878292818579,Optim_IPNewton,63,4.358237028121948,true,11
149.5878292818308,Optim_IPNewton,51,3.4039809703826904,true,12
147.54396517089998,Optim_IPNewton,70,2.3758068084716797,true,13
149.58782928148295,Optim_IPNewton,59,5.516322135925293,true,14
149.5878292818618,Optim_IPNewton,72,5.821069002151489,true,15
147.54396517090018,Optim_IPNewton,71,3.229910135269165,true,16
171.13407709146864,Optim_IPNewton,66,3.8279969692230225,true,17
147.5439651709017,Optim_IPNewton,65,2.397603988647461,true,18
171.13407709152398,Optim_IPNewton,47,2.9474830627441406,true,19
149.58782928184075,Optim_IPNewton,42,3.659559965133667,true,20
147.54396517090134,Optim_IPNewton,49,2.199428081512451,true,21
147.54396517089876,Optim_IPNewton,64,2.5467488765716553,true,22
149.58782928184135,Optim_IPNewton,62,4.159246921539307,true,23
145.75941183620998,Optim_IPNewton,49,2.1904420852661133,true,24
147.54396517090208,Optim_IPNewton,60,2.5502960681915283,true,25
149.5188386839042,Optim_IPNewton,60,3.780561923980713,true,26
149.58782928184735,Optim_IPNewton,45,3.505786895751953,true,27
171.1340770914405,Optim_IPNewton,87,4.906496047973633,true,28
149.518838683913,Optim_IPNewton,70,4.672879934310913,true,29
149.5878292814992,Optim_IPNewton,63,5.450890064239502,true,30
147.5439651708998,Optim_IPNewton,76,3.108752965927124,true,31
149.51883868392494,Optim_IPNewton,85,5.4833290576934814,true,32
147.54396517090422,Optim_IPNewton,54,2.292509078979492,true,33
149.58782928185244,Optim_IPNewton,39,4.208168029785156,true,34
149.5878292815492,Optim_IPNewton,69,5.76816987991333,true,35
149.5188386839193,Optim_IPNewton,52,4.187849044799805,true,36
147.54396517090032,Optim_IPNewton,63,2.791630983352661,true,37
147.5439651709024,Optim_IPNewton,61,2.278333902359009,true,38
147.54396517090132,Optim_IPNewton,57,2.7703380584716797,true,39
149.51883868390948,Optim_IPNewton,77,5.713882923126221,true,40
149.51883868390314,Optim_IPNewton,54,4.602365970611572,true,41
147.54396517090095,Optim_IPNewton,55,2.577307939529419,true,42
145.7594118362099,Optim_IPNewton,61,2.678617000579834,true,43
147.54396517092195,Optim_IPNewton,86,6.378973007202148,true,44
147.54396517090478,Optim_IPNewton,51,2.370779037475586,true,45
147.54396517090146,Optim_IPNewton,42,1.9564709663391113,true,46
147.54396517090484,Optim_IPNewton,58,2.266232967376709,true,47
147.5439651709016,Optim_IPNewton,59,2.0534489154815674,true,48
189.41874214427457,Optim_IPNewton,51,2.278909921646118,true,49
147.54396517090075,Optim_IPNewton,44,1.9393799304962158,true,50
