kD,kP,Start_guess
-0.7722323706813944,-0.25590981342671376,1
-0.7722174810390608,-0.2559073528925645,2
-0.7723371251011023,-0.25592262325920434,3
-0.7723416776885701,-0.25592329797984553,4
-0.7721203391536876,-0.2558954908758443,5
-0.7722230609514342,-0.2559086945621982,6
-0.7722664919249832,-0.2559140507632521,7
-0.7724353093662216,-0.2559376031382125,8
-0.7722376489333597,-0.25591092144995514,9
-0.7722387787242898,-0.25591068370717424,10
